#Name,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw2_resid_frac,uvm2_resid_frac,uvw1_resid_frac,mcps_flag,uvw2_pix_x,uvw2_pix_y,uvm2_pix_x,uvm2_pix_y,uvw1_pix_x,uvw1_pix_y,Separation
lmc_survey_161-91,lmc-obs45581-77,45581,75.742965,-70.23598,12.10892487,0.044023249,12.03743649,0.043139856,12.34353638,0.043895412,13.231,0.04,14.329,0.158,14.442,0.112,0,0,0.066037344,0.030189998,0.040566116,0,1200.469206,875.3339675,1196.244676,864.1774979,1195.490807,862.6823922,0.228144388
lmc_survey_161-819,lmc-obs45582-387,45582,75.79755,-70.12913,15.08084869,0.051336374,15.1994276,0.057535622,15.42083549,0.053864136,16.361,0.07,17.348,0.037,17.359,0.031,17.378,0.062,0.079111198,0.129626493,0.096484817,10,939.0154578,584.5595701,927.7746028,586.7343854,927.3113,585.3470493,0.216515649
lmc-survey-161-320,lmc-obs45581-945,45581,75.970005,-70.20279,14.85679913,0.047713615,14.8930645,0.051254757,15.10916615,0.050013997,15.943,0.041,16.686,0.094,16.948,0.039,17.061,0.205,0.102887311,0.17001287,0.144443995,0,926.051216,996.2244901,921.5780974,984.6774575,920.9326811,983.165854,0.205290325
lmc_survey_165-1200,lmc-obs45581-1246,45581,76.024185,-70.44547,15.05677986,0.048525646,15.07468891,0.052733414,15.29374123,0.051486827,16.419,0.152,16.751,0.065,16.759,0.071,16.94,0.087,0.092220139,0.113821142,0.092095486,20,857.3621391,126.4168409,853.623102,115.218378,853.185459,114.002537,0.446544415
lmc_survey_164-97,lmc-obs45578-835,45578,76.194645,-69.04014,15.74843884,0.066844657,15.95102119,0.083495505,16.23939896,0.089805648,17.256,0.065,18.41,0.036,18.553,0.055,18.85,0.064,0.06919241,0.128836472,0.092556568,10,912.3578004,773.9016442,905.3098623,764.6791236,906.8782546,764.593221,0.817607777
lmc_survey_140-495,lmc-obs45561-106,45561,76.209135,-70.5413,13.07041359,0.042295557,13.15790749,0.042700503,13.46410465,0.042672351,14.34,0.038,15.26,0.044,15.413,0.039,15.719,0.047,0.063080954,0.101930055,0.1277809,10,1162.738454,555.6070808,1153.445651,558.2027355,1153.66726,557.2236865,0.535022406
lmc_survey_165-875,lmc-obs45561-379,45561,76.27101,-70.50414,14.52336788,0.044509869,14.51888657,0.046269044,14.81159592,0.045739915,15.607,0.039,16.467,0.044,16.601,0.056,16.934,0.061,0.075976863,0.075949848,0.095085824,10,1089.938631,689.2500604,1080.543607,691.9488878,1080.832552,690.8848051,0.549161767
lmc_survey_140-400,lmc-obs45561-1008,45561,76.39323,-70.56535,13.55525494,0.042684261,13.57432365,0.043369219,13.84524822,0.043211665,14.789,0.038,15.653,0.057,15.83,0.032,15.926,0.105,0.038344238,0.037883509,0.047046443,10,943.1741817,470.5519301,933.4937121,473.1776192,933.9435385,472.1695767,0.280009291
lmc_survey_140-774,lmc-obs45561-1737,45561,76.477875,-70.52425,14.91512394,0.046771649,14.84887409,0.048799202,15.14310837,0.048554946,15.621,0.097,17.003,0.053,17.01,0.064,0,0,0.119705654,0.099442946,0.16351576,0,842.8106444,618.1795817,833.078566,620.9362307,833.603973,619.8296098,0.602080675
lmc_survey_140-32,lmc-obs45561-3712,45561,76.76121,-70.63561,13.655797,0.042667817,13.7349968,0.043583222,14.02233887,0.043350819,14.998,0.039,15.932,0.045,16.072,0.056,16.397,0.044,0.038359697,0.067075514,0.071566382,10,505.1991239,219.2832071,495.1731975,221.919816,495.9219461,221.0583492,0.579880046
lmc-obs45483-511,lmc-obs45483-511,45483,76.927965,-69.49482,16.01802254,0.051472407,16.10790443,0.057999246,16.3112545,0.056799181,17.22,0.063,18.044,0.038,18.087,0.05,18.044,0.054,0.085693294,0.120343356,0.112859645,10,838.1977661,563.5744789,825.4118038,557.7269135,825.6825674,557.7879465,0.048730666
lmc_survey_139-1217,lmc-obs45560-109,45560,76.97706,-70.50739,11.87603378,0.04777329,11.82868195,0.045142658,12.19696712,0.046516586,13.226,0.037,14.205,0.106,14.489,0.146,16.989,0.102,0.048438492,0.019564448,0.051063727,20,1121.924941,749.8451055,1107.461996,745.4600842,1106.703803,744.2482257,0.56372711
lmc_survey_140-878,lmc-obs45560-193,45560,77.02821,-70.51144,15.3243742,0.056573343,15.03802395,0.05886279,15.41152859,0.058699101,16.234,0.045,16.9,0.055,17.087,0.119,17.24,0.074,0.085617191,0.104125416,0.10580737,10,1060.959164,735.6966496,1046.316634,731.2897501,1045.587988,730.1003151,0.404312354
lmc-obs45461-2081,lmc-obs45461-2081,45461,77.167785,-69.18455,16.32736778,0.05935197,16.3711071,0.068921514,16.70786095,0.071008742,17.705,0.32,18.847,0.148,18.946,0.103,19.322,0.081,0.04427245,0.082710086,0.094849369,10,604.8464863,305.9601772,596.7156902,292.8101878,597.3610102,292.0079401,0.021742522
lmc-m04,lmc-obs45461-2273,45461,77.205735,-69.0916,15.96425915,0.054117914,16.07882118,0.062556706,16.36162376,0.062576495,17.214,0.057,18.135,0.04,18.318,0.049,18.583,0.057,0.250002376,0.307072072,0.332937656,10,555.7460081,639.1965029,547.9489612,625.8819693,548.5070303,624.8668124,0.044400234
OGLE_LMC_ECL-08916,lmc-obs45443-3754,45443,77.468775,-68.91605,16.07072067,0.062547445,16.01145363,0.069031045,16.25723648,0.070758186,16.745,0.074,17.998,0.141,17.989,0.171,18.063,0.138,0.312735757,0.335247748,0.253505323,10,572.9989346,577.6172593,557.9477509,574.9885137,557.4425796,573.7802096,0.420554244
lmc-survey-50-125,lmc-obs45471-811,45471,77.54376,-69.39417,15.0744009,0.061534423,15.18699074,0.072312512,15.30178928,0.068404421,15.841,0.045,16.646,0.047,16.702,0.079,16.59,0.077,0.057090128,0.126581078,0.070602641,10,531.0600778,353.5962814,518.4276781,354.7529888,520.6270648,354.5184505,0.311331333
lmc-obs45522-795,lmc-obs45522-795,45522,77.84628,-69.8981,15.72871304,0.064245075,15.92679787,0.078992978,16.25028419,0.073738791,17.384,0.052,18.22,0.031,18.41,0.086,18.681,0.098,0.071603757,0.164966807,0.109927317,10,331.6412406,774.5085182,325.5056091,777.5517025,325.606513,777.8871697,0.042524929
lmc-obs45470-3470,lmc-obs45469-181,45469,78.34581,-69.37446,15.40126324,0.052296951,14.92697716,0.050912626,15.1287384,0.050377958,16.498,0.049,17.241,0.043,17.382,0.137,17.171,0.075,0.442411168,0.164348257,0.256443662,10,1189.301156,478.5838076,1174.811586,475.1672883,1175.228617,474.1034539,0.049764643
lmc-survey-47-2121,lmc-obs45457-1467,45457,79.652655,-69.20703,14.68106747,0.045483559,14.72003841,0.048012346,14.97240257,0.048033629,15.728,0.035,16.519,0.046,16.526,0.386,16.578,0.116,0.136368867,0.141969345,0.144103962,0,761.0601175,188.482968,747.5615667,178.4393946,747.6106866,177.983822,0.771132681
lmc_survey_58-266,lmc-obs45479-2026,45479,79.81062,-69.61636,14.26992989,0.053835705,14.19445229,0.05749055,14.49046803,0.059339605,15.391,0.038,16.05,0.028,16.144,0.058,16.159,0.105,0.054811005,0.041482237,0.043262055,10,624.5316721,305.0880628,612.9202416,305.7061822,614.6573353,303.3347561,0.32652692
LHA-120-N-196,lmc-obs45556-235,45556,80.03907,-70.42717,17.39941597,0.099255838,18.00637627,0.168742672,17.95684052,0.164695889,16.673,0.042,17.542,0.064,17.912,0.105,18.689,0.071,0.229026149,0.487207462,0.150397715,20,883.3919378,1148.878261,881.1730897,1145.065554,881.4612309,1143.924423,0.31793153
lmc_survey_57-668,lmc-obs45467-3555,45467,80.266665,-69.49742,15.70984364,0.053221356,15.51425743,0.055833042,15.84476185,0.055894852,16.542,0.039,17.327,0.08,16.923,0.094,17.222,0.072,0.183768682,0.131039796,0.133040219,10,494.2532146,88.52398888,488.9396415,93.63092415,487.8705606,92.95150672,0.949614915
lmc-obs45467-5029,lmc-obs45467-5029,45467,80.48712,-69.42087,13.43981647,0.042526647,13.47062588,0.043185867,13.79829121,0.042843893,14.979,0.032,15.83,0.036,16.118,0.09,16.305,0.052,0.021969995,0.015297362,0.029229833,10,216.3617172,361.9250446,210.9601994,367.503865,210.4148435,366.9669042,0.03261949
lmc-obs45570-572,lmc-obs45570-572,45570,80.916,-68.61127,15.43936157,0.046736799,15.56936169,0.050789349,15.90838337,0.049372178,16.849,0.038,17.775,0.041,17.943,0.028,18.407,0.044,0.103221837,0.106341178,0.159486672,10,867.9578404,842.4404804,863.4411118,831.2368973,864.0543441,832.5828342,0.028
lmc-m03,lmc-obs45455-424,45455,81.10638,-69.21911,16.00006485,0.064624928,16.30763626,0.084936701,16.49777031,0.089044526,17.86,0.082,18.823,0.083,18.876,0.197,19.624,0.099,0.167716626,0.199221797,0.086189726,10,522.4858496,115.1253976,514.7721284,119.6640548,515.0599164,119.4370077,0.007535581
lmc-obs45465-1066,lmc-obs45465-1066,45465,81.582285,-69.37607,16.12583351,0.076957211,16.3096981,0.098053157,16.52499771,0.094619118,17.666,0.053,18.599,0.064,18.663,0.114,19.181,0.129,0.093609065,0.107387063,0.130783784,10,541.3948323,462.0188159,537.9053518,461.3314204,537.4127284,461.6622589,0.048738722
lmc-obs45569-1434,lmc-obs45569-1434,45569,81.697005,-68.82376,14.69438457,0.050759252,14.67969704,0.054514561,14.92871761,0.051484566,16.013,0.05,16.994,0.041,17.039,0.044,17.416,0.06,0.209340874,0.333140329,0.24504161,20,545.6596512,172.7224921,540.1982574,178.2554171,541.2415426,178.4039641,0.036582505
lmc-survey-148-1057,lmc-obs45569-1503,45569,81.706095,-68.78255,14.56295872,0.049874425,14.7741394,0.055872742,14.95013332,0.052047845,15.75,0.037,16.667,0.045,16.736,0.055,16.995,0.027,0.041362517,0.108074951,0.062999627,10,533.6464915,320.1047849,528.1542523,326.0338176,529.1847957,326.0859391,0.152047331
lmc-obs45568-33,lmc-obs45568-33,45568,81.867795,-68.68436,16.53267288,0.076450624,16.54638481,0.090709396,16.79945755,0.091923371,17.541,0.04,18.793,0.084,18.794,0.202,18.969,0.053,0.210527828,0.231095248,0.166274034,0,1178.813576,642.5167501,1174.104813,648.8551838,1174.588963,649.1961747,0.005918414
lmc_survey_33-387,lmc-obs45454-1490,45454,81.88365,-69.1415,15.43079567,0.072306395,15.37020969,0.079997018,15.61171055,0.076007552,16.39,0.037,17.009,0.043,17.164,0.029,17.321,0.036,0.169801165,0.198598272,0.133055253,10,467.6912708,374.8275691,456.3833788,367.7173864,457.1827001,367.1045435,0.8922137
lmc_survey_133-50,lmc-obs45554-1190,45554,81.907665,-70.62566,14.54190922,0.04491036,14.61676788,0.047404289,14.8921442,0.04639354,15.706,0.042,16.534,0.059,16.63,0.068,17.185,0.072,0.062010538,0.101237083,0.080988852,10,300.2975912,239.7925761,286.6325421,242.6584259,286.5814144,242.3287595,0.403820551
lmc_survey_132-193,lmc-obs45554-1260,45554,81.92175,-70.55439,12.03829479,0.043452278,12.01197815,0.042586096,12.31795883,0.042984854,12.991,0.038,14.032,0.043,14.225,0.035,14.554,0.04,0.046808716,0.02096887,0.027609646,10,282.202615,495.2258381,268.645024,497.8155819,268.5982194,497.5446882,0.559063472
lmc_survey_133-13,lmc-obs45554-1342,45554,81.944415,-70.6394,13.95368576,0.043410864,14.1016016,0.04507542,14.20636559,0.043955382,14.762,0.347,15.58,0.038,15.686,0.03,15.905,0.037,0.211657377,0.448538746,0.265867452,10,256.7778101,190.3530483,243.1698603,193.3013442,243.1438556,192.9246938,0.220118648
lmc-obs45516-4349,lmc-obs45516-4349,45516,82.004805,-69.99687,16.27102852,0.083707497,16.34575653,0.102787562,16.51569939,0.098424293,17.68,0.065,18.646,0.084,18.668,0.191,0,0,0.122533293,0.228026743,0.191100171,0,505.1586626,159.3840709,497.7207456,151.6245267,497.9941495,151.1351523,0.035966621
lmc-obs45454-2889,lmc-obs45454-2889,45454,82.040985,-69.17192,16.2050972,0.099800229,16.01984596,0.106102809,16.38259697,0.108663246,18.35,0.215,19.287,0.295,19.047,0.203,19.385,0.225,0.245724011,0.401683318,0.238343749,0,267.4251358,264.3608885,256.2011003,257.8528054,257.155812,257.1722481,0.022641992
lmc_survey_14-1282,lmc-obs45435-2555,45435,82.16817,-68.77846,14.75973892,0.048033655,14.83293819,0.052167576,15.02735138,0.051592272,15.374,0.033,16.302,0.185,16.406,0.032,16.649,0.039,0.290679301,0.359071038,0.323365315,10,439.0806455,841.7057119,425.1601335,834.8099213,423.8637431,833.6459997,0.666116964
lmc_survey_14-453,lmc-obs45433-236,45433,82.39551,-68.95656,,,17.68926048,0.297909141,17.41272163,0.197265983,16.986,0.065,17.458,0.046,17.576,0.071,17.785,0.064,,1.287319981,0.295302961,10,,,983.658089,356.0628649,985.1628701,355.0230606,0.591043576
lmc_survey_15-355,lmc-obs45463-1100,45463,82.709115,-69.15125,13.82702255,0.046795227,13.90967655,0.049556453,14.10574818,0.047988132,15.537,0.049,16.178,0.04,16.243,0.06,17.884,0.263,0.117651329,0.176773437,0.139573326,0,662.9396135,1011.364659,651.2165478,1002.310118,651.0733399,1001.123864,0.608247166
lmc_survey_15-1413,lmc-obs45433-1131,45433,82.75413,-69.01202,14.38785172,0.05708459,14.45230961,0.064337462,14.66500282,0.056201652,15.153,0.054,16.763,0.086,16.14,0.048,0,0,0.048596536,0.091376597,0.03674371,0,529.3679792,150.7645314,522.2636228,157.4887255,524.0133125,156.7440034,0.028732648
lmc-m02,lmc-obs45536-335,45536,83.116425,-70.30682,16.65138435,0.099345863,16.5628891,0.110596903,17.10967827,0.195032746,17.935,0.074,19.229,0.092,19.244,0.175,19.759,0.218,0.104529913,0.235219077,0.170394003,0,995.0620228,685.3503622,985.7970636,680.1729068,985.8520524,680.8091922,0.049053051
lmc-obs45493-2134,lmc-obs45493-2134,45493,83.872515,-69.67843,14.43061733,0.048011597,14.35797596,0.050186884,14.60582829,0.051447731,15.812,0.045,16.344,0.037,17.073,0.046,16.407,0.049,0.043738543,0.043535095,0.031113466,20,336.3868978,540.2981067,326.6537687,534.7828728,327.0526555,535.0025453,0.051533459
lmc-obs45536-1399,lmc-obs45536-1399,45536,83.89011,-70.31835,16.24222565,0.079324797,16.43523788,0.103311226,16.70749092,0.137950823,17.372,0.065,18.613,0.065,18.758,0.125,19.495,0.15,0.114177644,0.218290445,0.136068071,20,60.3774567,642.5242828,51.50539305,637.6086655,51.97101152,638.2059596,0.043940434
lmc-obs45473-2768,lmc-obs45473-2768,45473,84.05355,-69.45609,14.14269257,0.043807343,14.08868313,0.044877749,14.419631,0.044193812,15.933,0.073,16.655,0.061,16.573,0.095,17.003,0.115,0.06274773,0.044277494,0.055412372,10,368.3042231,648.3649743,364.3626491,637.193701,363.873412,637.4044131,0.026207511
lmc-obs45473-3515,lmc-obs45473-3515,45473,84.137715,-69.44082,15.57763672,0.054633554,15.77162743,0.064919785,15.9998455,0.06153189,17.634,0.054,18.098,0.07,18.177,0.102,18.449,0.078,0.072050952,0.118959932,0.078675548,10,262.2030158,702.4779158,258.2409253,691.3360823,257.8744833,691.5400864,0.048734324
lmc-m05,lmc-obs45512-1412,45512,86.606925,-70.25292,16.129879,0.051914155,16.0403862,0.056286391,16.35745049,0.055429008,17.149,0.094,18.279,0.033,18.333,0.04,18.723,0.061,0.160666101,0.119581491,0.116506148,10,188.6384778,434.1501304,176.5927378,434.8565863,176.2425011,435.5883185,0.015707953
lmc-m01,lmc-obs45509-850,45509,86.73666,-70.09345,14.80766964,0.045035191,14.95146275,0.048232824,15.2161026,0.04656335,16.285,0.056,17.476,0.033,17.687,0.031,18.007,0.045,0.081826694,0.106206645,0.106362395,10,296.7199001,25.7167441,289.6487637,17.32280358,289.3019692,16.79296156,0.021605011
lmc-obs45446-206,lmc-obs45446-206,45446,86.86671,-69.1021,16.49867249,0.059729923,16.61307144,0.071471252,16.89254761,0.066698365,18.074,0.072,19.205,0.052,19.461,0.088,19.86,0.135,0.112725725,0.127151166,0.102709954,10,815.9112407,842.0288299,813.5028419,831.3294855,813.384513,831.9059662,0.040057216
lmc_survey_126-644,lmc-obs45547-1500,45547,87.79125,-70.31087,15.9011116,0.054653205,15.99350357,0.062918484,16.12443352,0.056941945,16.824,0.057,17.933,0.051,18.027,0.029,18.245,0.066,0.155771827,0.193168618,0.099813175,10,82.16286853,746.4716945,73.99110729,757.5811554,73.29706678,757.1160654,0.652609995
lmc_survey_148_92,lmc-obs45569-1075,45569,81.642915,-68.82356,14.27295113,0.04785252,14.25280666,0.050488763,14.52974796,0.048356313,15.301,0.036,16.409,0.024,16.438,0.031,16.825,0.035,0.106608809,0.099968163,0.079422694,10,615.6364633,173.4984763,610.2213322,179.0019556,611.2310364,179.1549381,0.328314711