#Name,name,obsid,ra,dec,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,uvw1_mag,uvw1_mag_err,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw2_resid_frac,uvm2_resid_frac,uvw1_resid_frac,mcps_flag,uvw2_pix_x,uvw2_pix_y,uvm2_pix_x,uvm2_pix_y,uvw1_pix_x,uvw1_pix_y,Separation
smc-obs40442-5563,smc-obs40439-1184,40439,12.68916,-73.26791,16.396812438964847,0.11973978579044342,16.618478775024414,0.16568133234977722,16.782140731811527,0.21137195825576785,17.865,0.081,19.173,0.081,19.035999999999998,0.12300000000000001,19.379,0.141,0.8551422085138883,1.0097121676132017,0.8309930796953046,10.0,871.6490643308983,959.0525476215182,852.1953160366849,957.1423559902933,852.7355107617044,955.5461640229092,0.024974818003804737
smc-survey-17,smc-obs40424-3427,40424,12.72189,-72.95193,16.90777587890625,0.08340352773666382,16.840890884399414,0.0979677438735962,16.954708099365234,0.09156838059425354,17.195,0.069,18.148,0.032,18.368,0.047,18.585,0.077,0.11748018871526487,0.14794654027232826,0.06113637160372527,10.0,528.4733796644791,108.23555525597507,516.9840771846295,114.49128037003176,515.6270695031417,114.03735579356392,0.423631631437441
smc-m2,smc-obs40416-6198,40416,14.25651,-72.60092,16.152694702148438,0.06455082446336746,16.32217025756836,0.08116499334573746,16.784934997558597,0.08914675563573837,17.525,0.054000000000000006,18.741,0.04,18.919,0.057999999999999996,19.183,0.071,0.1201287700116472,0.10900197465569256,0.15651034036465478,20.0,114.60552929413308,764.044874082904,119.63578165139992,761.0917485715488,119.90886885036308,762.0614804452323,0.010949129642815187
smc-obs40434-2857,smc-obs40434-2857,40434,14.41704,-71.98791,16.121223449707028,0.0626813992857933,16.266857147216793,0.07659000158309938,16.774770736694336,0.0830693393945694,17.676,0.040999999999999995,18.97,0.034,19.204,0.044000000000000004,19.328,0.083,0.10635577928282873,0.09604063739905,0.13305236866442288,20.0,248.98920424723926,576.2330052794275,246.98476078086608,562.6458753281911,247.07573513618144,561.9895220164955,0.024071604820264436
smc-obs40430-4159,smc-obs40430-4159,40430,14.82831,-72.18024,16.204626083374027,0.10176538676023483,16.29294776916504,0.1236189380288124,16.951385498046875,0.166474848985672,17.46,0.043,18.689,0.10800000000000001,18.762999999999998,0.18600000000000005,18.695,0.073,0.31804800121032595,0.4508698967401451,0.4511475329299819,20.0,315.7790719871855,664.0397846480747,312.93601934318644,649.2920826440736,314.54018960145106,648.2706810706399,0.04127882338578473
smc-a18,smc-obs40427-981,40427,15.24876,-72.62048,14.451388359069824,0.04942391812801361,14.592915534973145,0.05451358482241631,14.894845962524414,0.05369938164949417,15.957,0.035,17.252,0.027000000000000003,17.43,0.040999999999999995,17.776,0.05,0.04193206439542944,0.07890883556232031,0.07450024812665099,20.0,713.4536964938449,417.53278616808524,708.5971834795457,423.07368522390806,707.9445680986341,422.63817505853257,0.010937598617655107
smc-obs40427-1785,smc-obs40427-1785,40427,15.480059999999998,-72.45029,15.531888008117676,0.06091572344303131,15.486104965209961,0.0690818503499031,15.768233299255373,0.06697288155555725,17.375,0.045,18.17,0.04,18.24,0.05,18.382,0.054000000000000006,0.3042717626967021,0.251584544521043,0.2632227188039717,10.0,464.64227879699484,1027.4143199677499,459.843392235536,1032.7995092667402,459.37269346582536,1032.0395376956903,0.048291381229766034
smc-obs40431-5378,smc-obs40431-5378,40431,15.842819999999998,-72.10988,14.527875900268555,0.04521141946315765,14.20674991607666,0.04555653780698776,14.54856777191162,0.04512624815106392,15.892999999999999,0.037000000000000005,16.819000000000006,0.04,17.099,0.064,17.27,0.039,0.1974926485268347,0.12140474824041687,0.15968539318423866,10.0,283.46583431048776,958.624018867242,283.4936195299884,949.8074495743545,281.9272344442725,950.5403121307177,0.03523381941928996
smc-obs40436-5218,smc-obs40436-5218,40436,15.926654999999998,-72.02792,15.156633377075195,0.05249326303601265,15.183385848999025,0.0575200766324997,15.53895092010498,0.15879042446613312,16.414,0.032,17.418,0.031,17.829,0.102,17.820999999999994,0.040999999999999995,0.07929375854470337,0.07961907495424117,0.5934033124877794,20.0,421.4582580414285,547.9648308532173,406.52195264443037,539.1963196016943,407.6109415190191,538.4601862948301,0.017661883360384864
smc-obs40454-4048,smc-obs40431-6637,40431,15.97596,-72.12816,15.408693313598633,0.05057371035218239,15.564732551574707,0.057634539902210236,15.688383102416992,0.053592685610055917,16.585,0.09,17.485,0.032,17.667,0.046,17.864,0.059000000000000004,0.0909575889020782,0.12035132210447125,0.12696722177850295,10.0,137.27792674333952,892.148968097351,137.06986910622214,883.4093427093236,135.7221258421549,884.0770928965883,0.024070531959297342
smc-m1,smc-obs40454-4332,40454,16.001985,-72.27852,16.122718811035153,0.057540737092494965,16.169580459594727,0.06650827080011368,16.42003059387207,0.1268116533756256,17.701,0.098,18.965999999999998,0.031,19.204,0.062,19.545,0.08199999999999999,0.12349769841466438,0.18836800765187325,0.2314873002996157,10.0,751.9603538453212,216.7810625164894,748.8860959659655,203.93883057319687,749.6408682054657,203.59979313095118,0.0019999999875524566
smc-obs40454-6519,smc-obs40454-6519,40454,16.26066,-72.04239,16.336305618286133,0.06844111531972885,16.47324562072754,0.08422570675611496,17.073562622070312,0.2266806215047837,17.89,0.043,18.889,0.03,19.222,0.076,19.924,0.276,0.041284011202975465,0.08933876391722936,0.17751064132889102,0.0,467.9246713568232,1063.1646786916606,464.91529056496313,1050.3364131514882,465.29416246658167,1049.4098291705754,0.00841147304133929
smc-obs40457-1095,smc-obs40454-6811,40454,16.291005,-72.09011,16.237031936645508,0.06523292511701584,16.10050392150879,0.06932029873132706,15.713216781616213,0.09706448018550873,17.956,0.098,18.65,0.076,18.882,0.092,19.070999999999998,0.129,0.2891644459273257,0.5313006042195932,0.3696626663979907,10.0,434.89536936559443,892.3599712784868,431.8927635258412,879.1898659153363,432.42324876633484,878.3498459663073,0.006829376411048449
smc-obs40454-7161,smc-obs40454-7161,40454,16.327665,-72.11072,13.894063949584961,0.04331482946872711,13.924211502075195,0.04448584094643593,14.228121757507324,0.0605822466313839,15.27,0.057999999999999996,16.160999999999998,0.027999999999999997,17.072,0.08800000000000001,16.649,0.035,0.12272006484008853,0.09161818453654608,0.12267632789005545,20.0,394.733918568276,818.4297695864882,391.7376617949236,805.1777008329393,392.3428493463797,804.3608362393518,0.00820956221603322
