,galaxy,field,sub_field_index,ra_1,ra_2,dec_1,dec_2
252,lmc,LMC131,5,4:53:32.41,4:54:31.98,-66:38:47.3,-66:35:35.6
253,lmc,LMC131,6,4:53:32.03,4:54:32.27,-66:46:19.0,-66:45:50.4
254,lmc,LMC131,7,4:53:29.31,4:54:33.11,-66:59:35.7,-66:55:21.1
255,lmc,LMC131,8,4:53:30.08,4:54:32.23,-67:08:06.9,-67:03:41.4
256,lmc,LMC132,1,4:56:04.05,4:57:08.38,-67:41:59.0,-67:41:52.9
257,lmc,LMC132,2,4:56:03.91,4:57:07.20,-67:36:19.5,-67:30:51.7
258,lmc,LMC132,3,4:56:02.54,4:57:04.36,-67:20:06.4,-67:20:01.9
259,lmc,LMC132,4,4:56:02.00,4:57:04.81,-67:15:49.2,-67:11:32.0
260,lmc,LMC132,5,4:52:57.55,4:53:59.10,-67:16:01.7,-67:18:27.2
261,lmc,LMC132,6,4:52:55.45,4:53:58.72,-67:27:11.4,-67:25:55.3
262,lmc,LMC132,7,4:52:55.28,4:53:58.83,-67:31:01.7,-67:36:52.3
263,lmc,LMC132,8,4:52:54.30,4:53:59.58,-67:43:11.3,-67:46:31.4
264,lmc,LMC133,1,4:55:34.41,4:56:39.37,-68:19:10.4,-68:18:04.2
265,lmc,LMC133,2,4:55:32.68,4:56:39.06,-68:05:11.5,-68:12:46.7
266,lmc,LMC133,3,4:55:33.23,4:56:38.58,-68:01:39.1,-68:01:16.1
267,lmc,LMC133,4,4:55:31.38,4:56:36.96,-67:45:30.8,-67:51:30.3
268,lmc,LMC133,5,4:52:21.79,4:53:27.48,-67:51:29.2,-67:47:48.3
269,lmc,LMC133,6,4:52:21.90,4:53:27.23,-68:00:32.7,-68:02:25.2
270,lmc,LMC133,7,4:52:20.94,4:53:25.59,-68:09:31.5,-68:10:16.9
271,lmc,LMC133,8,4:52:20.47,4:53:25.82,-68:20:46.5,-68:20:10.9
272,lmc,LMC134,1,4:54:51.24,4:55:58.61,-68:55:42.6,-68:57:22.6
273,lmc,LMC134,2,4:54:47.71,4:55:56.84,-68:47:37.4,-68:44:10.1
274,lmc,LMC134,3,4:54:49.30,4:55:55.39,-68:36:16.1,-68:38:16.8
275,lmc,LMC134,4,4:54:49.43,4:55:54.33,-68:28:22.7,-68:29:33.4
276,lmc,LMC134,5,4:51:34.33,4:52:39.28,-68:27:15.5,-68:27:28.8
277,lmc,LMC134,6,4:51:34.09,4:52:38.49,-68:35:11.6,-68:39:12.5
278,lmc,LMC134,7,4:51:32.00,4:52:38.58,-68:45:15.5,-68:45:26.7
279,lmc,LMC134,8,4:51:32.47,4:52:38.89,-68:55:23.4,-68:53:50.7
280,lmc,LMC135,1,4:54:15.05,4:55:23.80,-69:26:24.8,-69:25:42.4
281,lmc,LMC135,2,4:54:14.00,4:55:22.75,-69:20:30.8,-69:21:24.9
282,lmc,LMC135,3,4:54:13.51,4:55:21.53,-69:13:54.2,-69:14:25.5
283,lmc,LMC135,4,4:54:13.77,4:55:21.46,-69:04:40.3,-69:04:25.6
284,lmc,LMC135,5,4:50:53.25,4:52:00.88,-69:03:02.5,-69:04:06.8
285,lmc,LMC135,6,4:50:48.81,4:52:00.39,-69:13:06.2,-69:15:11.6
286,lmc,LMC135,7,4:50:50.87,4:52:00.28,-69:23:11.8,-69:20:59.4
287,lmc,LMC135,8,4:50:51.17,4:52:00.49,-69:30:05.3,-69:29:24.3
288,lmc,LMC136,1,4:53:35.25,4:54:45.98,-70:06:31.1,-70:01:14.4
289,lmc,LMC136,2,4:53:33.68,4:54:46.11,-69:53:14.2,-69:58:21.4
290,lmc,LMC136,3,4:53:34.76,4:54:43.10,-69:50:24.9,-69:42:13.3
291,lmc,LMC136,4,4:53:33.37,4:54:42.17,-69:34:31.4,-69:37:16.5
292,lmc,LMC136,5,4:50:06.48,4:51:17.13,-69:40:03.1,-69:33:10.3
293,lmc,LMC136,6,4:50:06.24,4:51:17.07,-69:49:47.0,-69:42:45.6
294,lmc,LMC136,7,4:50:07.02,4:51:17.31,-69:58:04.2,-69:57:41.7
295,lmc,LMC136,8,4:50:05.68,4:51:16.43,-70:00:51.2,-70:05:12.9
296,lmc,LMC137,1,4:52:36.40,4:53:55.43,-70:38:28.0,-70:37:15.6
297,lmc,LMC137,2,4:52:41.00,4:53:53.80,-70:34:32.3,-70:34:37.4
298,lmc,LMC137,3,4:52:39.99,4:53:52.69,-70:20:32.2,-70:23:39.5
299,lmc,LMC137,4,4:52:38.64,4:53:29.04,-70:15:00.2,-70:15:42.3
300,lmc,LMC137,5,4:49:07.95,4:50:20.38,-70:09:24.4,-70:14:46.4
301,lmc,LMC137,6,4:49:06.18,4:50:18.47,-70:21:39.1,-70:24:26.5
302,lmc,LMC137,7,4:49:06.14,4:50:19.03,-70:29:10.8,-70:32:01.0
303,lmc,LMC137,8,4:49:04.86,4:50:18.15,-70:38:20.3,-70:35:33.6
304,lmc,LMC138,1,4:50:38.70,4:51:41.22,-67:08:49.7,-67:08:49.9
305,lmc,LMC138,2,4:50:37.77,4:51:39.54,-66:58:11.6,-66:57:04.1
306,lmc,LMC138,3,4:50:36.28,4:51:38.61,-66:46:53.0,-66:52:57.0
307,lmc,LMC138,4,4:50:36.63,4:51:37.89,-66:43:12.1,-66:41:41.5
308,lmc,LMC138,5,4:47:35.46,4:48:37.54,-66:38:12.2,-66:39:26.8
309,lmc,LMC138,6,4:47:35.41,4:48:36.23,-66:49:47.7,-66:44:18.9
310,lmc,LMC138,7,4:47:34.67,4:48:37.07,-66:55:33.0,-66:59:57.9
311,lmc,LMC138,8,4:47:33.51,4:48:36.01,-67:04:50.1,-67:08:10.3
312,lmc,LMC139,1,4:50:10.96,4:51:15.73,-67:40:42.0,-67:44:34.4
313,lmc,LMC139,2,4:50:11.20,4:51:15.24,-67:33:35.7,-67:34:04.6
314,lmc,LMC139,3,4:50:10.19,4:51:13.92,-67:22:33.1,-67:26:08.8
315,lmc,LMC139,4,4:50:10.17,4:51:11.69,-67:17:43.2,-67:16:14.9
316,lmc,LMC139,5,4:47:04.89,4:48:06.33,-67:15:52.6,-67:18:03.8
317,lmc,LMC139,6,4:47:04.96,4:48:06.31,-67:26:48.9,-67:27:30.7
318,lmc,LMC139,7,4:47:04.40,4:48:06.61,-67:28:17.5,-67:30:13.0
319,lmc,LMC139,8,4:47:02.23,4:48:06.51,-67:44:27.4,-67:43:09.4
320,lmc,LMC140,1,4:49:21.93,4:50:25.35,-68:20:35.0,-68:19:11.4
321,lmc,LMC140,2,4:49:21.32,4:50:27.08,-68:11:15.8,-68:08:47.8
322,lmc,LMC140,3,4:49:20.46,4:50:21.57,-68:02:28.5,-67:55:41.5
323,lmc,LMC140,4,4:49:19.73,4:50:23.28,-67:51:46.4,-67:49:44.2
324,lmc,LMC140,5,4:46:09.62,4:47:14.38,-67:51:19.0,-67:53:35.5
325,lmc,LMC140,6,4:46:08.87,4:47:14.24,-67:55:16.6,-67:55:44.1
326,lmc,LMC140,7,4:46:08.79,4:47:13.68,-68:09:02.5,-68:07:47.6
327,lmc,LMC140,8,4:46:07.76,4:47:13.11,-68:21:02.4,-68:14:43.0
328,lmc,LMC141,1,4:48:33.67,4:49:40.53,-68:56:56.5,-68:48:56.1
329,lmc,LMC141,2,4:48:32.50,4:49:39.33,-68:44:38.2,-68:41:50.2
330,lmc,LMC141,3,4:48:33.39,4:49:38.78,-68:37:01.7,-68:39:09.7
331,lmc,LMC141,4,4:48:31.44,4:49:35.85,-68:27:59.9,-68:23:55.1
332,lmc,LMC141,5,4:45:16.28,4:46:23.15,-68:29:03.5,-68:27:28.2
333,lmc,LMC141,6,4:45:16.00,4:46:22.59,-68:33:55.9,-68:36:52.8
334,lmc,LMC141,7,4:45:16.08,4:46:22.89,-68:43:55.0,-68:45:23.3
335,lmc,LMC141,8,4:45:14.09,4:46:21.58,-68:53:06.0,-68:55:19.3
336,lmc,LMC142,1,4:47:40.53,4:48:49.33,-69:29:10.8,-69:32:57.6
337,lmc,LMC142,2,4:47:39.06,4:48:47.77,-69:20:35.2,-69:16:23.4
338,lmc,LMC142,3,4:47:38.11,4:48:46.19,-69:11:54.1,-69:09:12.6
339,lmc,LMC142,4,4:47:37.64,4:48:46.02,-69:01:32.5,-69:01:32.6
340,lmc,LMC142,5,4:44:17.74,4:45:26.12,-68:57:34.9,-68:57:43.9
341,lmc,LMC142,6,4:44:17.25,4:45:24.48,-69:14:18.6,-69:08:29.6
342,lmc,LMC142,7,4:44:17.20,4:45:24.71,-69:22:04.1,-69:23:34.1
343,lmc,LMC142,8,4:44:16.04,4:45:25.50,-69:31:28.6,-69:26:10.5
344,lmc,LMC143,1,4:46:57.06,4:48:07.27,-70:04:46.3,-70:04:28.0
345,lmc,LMC143,2,4:46:55.56,4:48:05.68,-69:56:01.4,-69:55:17.1
346,lmc,LMC143,3,4:46:55.75,4:48:05.90,-69:41:55.9,-69:46:49.8
347,lmc,LMC143,4,4:46:54.93,4:48:02.44,-69:32:05.7,-69:32:23.6
348,lmc,LMC143,5,4:43:29.46,4:44:40.77,-69:37:39.6,-69:36:53.1
349,lmc,LMC143,6,4:43:26.87,4:44:38.31,-69:47:05.9,-69:47:36.2
350,lmc,LMC143,7,4:43:27.14,4:44:36.85,-69:56:23.5,-69:56:38.3
351,lmc,LMC143,8,4:43:25.92,4:44:36.75,-70:07:24.4,-70:07:56.5
352,lmc,LMC144,1,4:45:55.17,4:47:08.41,-70:41:24.5,-70:35:12.8
353,lmc,LMC144,2,4:45:56.18,4:47:07.02,-70:28:44.5,-70:30:46.3
354,lmc,LMC144,3,4:45:53.52,4:47:06.42,-70:22:48.8,-70:21:44.0
355,lmc,LMC144,4,4:45:53.66,4:47:06.46,-70:09:41.8,-70:15:42.5
356,lmc,LMC144,5,4:42:22.85,4:43:33.90,-70:10:24.1,-70:13:02.5
357,lmc,LMC144,6,4:42:21.60,4:43:32.93,-70:23:34.5,-70:25:48.0
358,lmc,LMC144,7,4:42:20.06,4:43:32.30,-70:31:07.5,-70:31:49.9
359,lmc,LMC144,8,4:42:19.64,4:43:32.23,-70:37:01.4,-70:40:55.8
360,lmc,LMC145,1,4:44:46.66,4:45:49.30,-67:08:23.5,-67:06:42.1
361,lmc,LMC145,2,4:44:46.86,4:45:47.13,-66:58:42.7,-66:57:40.5
362,lmc,LMC145,3,4:44:45.63,4:45:47.49,-66:48:12.1,-66:51:16.3
363,lmc,LMC145,4,4:44:46.05,4:45:45.58,-66:37:03.7,-66:35:13.8
364,lmc,LMC145,5,4:41:42.04,4:42:46.34,-66:42:24.7,-66:42:25.7
365,lmc,LMC145,6,4:41:43.86,4:42:45.98,-66:50:06.6,-66:44:27.4
366,lmc,LMC145,7,4:41:42.44,4:42:42.18,-66:57:16.4,-66:54:55.7
367,lmc,LMC145,8,4:41:42.40,4:42:45.31,-67:07:34.2,-67:10:44.6
368,lmc,LMC146,1,4:44:04.25,4:45:06.87,-67:37:37.4,-67:39:20.1
369,lmc,LMC146,2,4:44:05.57,4:45:07.63,-67:35:14.8,-67:33:20.3
370,lmc,LMC146,3,4:44:02.95,4:45:08.68,-67:19:49.5,-67:24:27.3
371,lmc,LMC146,4,4:44:03.52,4:45:05.84,-67:11:20.4,-67:17:21.1
372,lmc,LMC146,5,4:40:57.16,4:42:01.31,-67:18:28.5,-67:16:41.5
373,lmc,LMC146,6,4:40:56.96,4:41:59.74,-67:26:58.0,-67:24:30.3
374,lmc,LMC146,7,4:40:57.47,4:42:00.39,-67:33:21.3,-67:28:50.6
375,lmc,LMC146,8,4:40:56.95,4:41:59.32,-67:40:06.0,-67:41:55.2
376,lmc,LMC147,1,4:43:11.26,4:44:17.42,-68:13:08.1,-68:13:05.3
377,lmc,LMC147,2,4:43:12.77,4:44:16.02,-68:07:29.1,-68:08:02.9
378,lmc,LMC147,3,4:43:11.88,4:44:16.28,-67:59:02.8,-68:01:04.5
379,lmc,LMC147,4,4:43:11.40,4:44:14.93,-67:50:28.6,-67:45:56.5
380,lmc,LMC147,5,4:40:00.40,4:41:05.06,-67:47:48.6,-67:50:49.6
381,lmc,LMC147,6,4:39:56.81,4:41:04.15,-68:03:51.3,-68:01:03.7
382,lmc,LMC147,7,4:39:59.71,4:41:03.52,-68:10:59.9,-68:12:53.7
383,lmc,LMC147,8,4:39:58.78,4:41:04.12,-68:13:56.3,-68:15:18.2
384,lmc,LMC148,1,4:42:13.28,4:43:21.60,-68:50:35.1,-68:51:51.3
385,lmc,LMC148,2,4:42:14.13,4:43:20.18,-68:46:45.4,-68:40:45.4
386,lmc,LMC148,3,4:42:12.86,4:43:18.92,-68:36:15.4,-68:39:24.8
387,lmc,LMC148,4,4:42:13.29,4:43:18.27,-68:27:11.2,-68:27:29.0
388,lmc,LMC148,5,4:38:57.97,4:40:03.42,-68:26:18.2,-68:21:26.5
389,lmc,LMC148,6,4:38:58.01,4:40:03.36,-68:36:22.2,-68:34:45.0
390,lmc,LMC148,7,4:38:55.64,4:40:02.18,-68:41:44.3,-68:47:29.3
391,lmc,LMC148,8,4:38:54.75,4:40:03.47,-68:49:23.8,-68:56:29.9
392,lmc,LMC149,1,4:41:10.48,4:42:19.71,-69:25:34.8,-69:31:06.5
393,lmc,LMC149,2,4:41:09.34,4:42:18.35,-69:18:48.6,-69:21:16.0
394,lmc,LMC149,3,4:41:09.26,4:42:17.06,-69:08:07.5,-69:07:04.3
395,lmc,LMC149,4,4:41:07.11,4:42:16.24,-69:04:39.6,-69:01:53.7
396,lmc,LMC149,5,4:37:47.37,4:38:56.07,-69:03:10.4,-69:02:00.3
397,lmc,LMC149,6,4:37:46.78,4:38:54.31,-69:12:59.2,-69:09:06.1
398,lmc,LMC149,7,4:37:41.70,4:38:54.14,-69:17:33.6,-69:19:14.4
399,lmc,LMC149,8,4:37:45.37,4:38:54.99,-69:29:45.2,-69:32:20.9
400,lmc,LMC150,1,4:40:15.30,4:41:28.50,-70:05:58.3,-70:05:35.3
401,lmc,LMC150,2,4:40:15.14,4:41:26.86,-69:57:06.8,-69:56:00.7
402,lmc,LMC150,3,4:40:14.43,4:41:24.32,-69:47:21.8,-69:46:09.8
403,lmc,LMC150,4,4:40:12.70,4:41:21.96,-69:36:00.4,-69:33:34.9
404,lmc,LMC150,5,4:36:47.65,4:37:56.80,-69:34:56.4,-69:37:33.6
405,lmc,LMC150,6,4:36:47.01,4:37:58.57,-69:46:55.4,-69:41:49.3
406,lmc,LMC150,7,4:36:46.08,4:37:58.44,-69:53:18.0,-69:55:47.0
407,lmc,LMC150,8,4:36:44.69,4:37:57.35,-70:03:42.8,-70:05:22.4
408,lmc,LMC151,1,4:39:00.76,4:40:15.10,-70:35:17.4,-70:42:21.2
409,lmc,LMC151,2,4:39:00.31,4:40:13.10,-70:28:52.1,-70:31:15.9
410,lmc,LMC151,3,4:38:59.44,4:40:12.41,-70:22:56.8,-70:21:04.7
411,lmc,LMC151,4,4:38:58.33,4:40:11.08,-70:09:04.6,-70:11:33.7
412,lmc,LMC151,5,4:35:28.06,4:36:39.70,-70:10:48.0,-70:11:06.7
413,lmc,LMC151,6,4:35:26.43,4:36:40.02,-70:21:42.1,-70:17:43.7
414,lmc,LMC151,7,4:35:25.93,4:36:39.13,-70:29:19.8,-70:30:00.2
415,lmc,LMC151,8,4:35:25.93,4:36:39.26,-70:36:29.2,-70:37:23.4
416,lmc,LMC152,1,4:38:55.38,4:39:56.77,-67:04:20.4,-67:02:29.9
417,lmc,LMC152,2,4:38:52.00,4:39:51.40,-66:56:19.8,-67:01:25.7
418,lmc,LMC152,3,4:38:52.85,4:39:54.08,-66:45:47.6,-66:47:45.2
419,lmc,LMC152,4,4:38:52.40,4:39:53.79,-66:35:26.2,-66:43:27.9
420,lmc,LMC152,5,4:35:51.08,4:36:52.30,-66:37:37.6,-66:36:47.5
421,lmc,LMC152,6,4:35:51.64,4:36:50.03,-66:47:52.6,-66:51:30.7
422,lmc,LMC152,7,4:35:52.11,4:36:56.83,-66:53:44.7,-66:58:38.8
423,lmc,LMC152,8,4:35:50.27,4:36:53.30,-67:03:25.4,-67:02:38.8
424,lmc,LMC153,1,4:38:03.49,4:39:08.67,-67:46:17.9,-67:46:07.7
425,lmc,LMC153,2,4:38:03.16,4:39:06.24,-67:35:02.6,-67:33:29.5
426,lmc,LMC153,3,4:38:01.22,4:39:03.30,-67:27:09.2,-67:19:38.0
427,lmc,LMC153,4,4:38:01.76,4:39:04.22,-67:10:17.2,-67:15:46.1
428,lmc,LMC153,5,4:34:58.38,4:35:59.66,-67:14:29.1,-67:12:50.2
429,lmc,LMC153,6,4:34:58.04,4:35:57.25,-67:28:26.0,-67:24:45.1
430,lmc,LMC153,7,4:34:56.14,4:35:57.27,-67:36:01.3,-67:35:02.7
431,lmc,LMC153,8,4:34:56.42,4:35:59.18,-67:39:44.0,-67:44:14.2
432,lmc,LMC154,1,4:37:03.45,4:38:06.60,-68:14:14.0,-68:20:23.2
433,lmc,LMC154,2,4:37:02.51,4:38:05.96,-68:09:08.3,-68:07:15.7
434,lmc,LMC154,3,4:37:01.44,4:38:06.06,-68:01:20.5,-67:59:40.2
435,lmc,LMC154,4,4:37:00.15,4:38:05.88,-67:45:38.5,-67:52:54.3
436,lmc,LMC154,5,4:33:52.43,4:34:54.71,-67:49:16.0,-67:54:17.9
437,lmc,LMC154,6,4:33:50.78,4:34:54.73,-67:58:45.3,-67:56:53.2
438,lmc,LMC154,7,4:33:48.60,4:34:55.03,-68:10:47.4,-68:05:21.2
439,lmc,LMC154,8,4:33:49.40,4:34:55.20,-68:13:52.4,-68:21:15.1
440,lmc,LMC155,1,4:35:53.54,4:36:59.23,-68:57:06.1,-68:50:43.3
441,lmc,LMC155,2,4:35:53.91,4:37:01.30,-68:48:36.3,-68:45:07.2
442,lmc,LMC155,3,4:35:50.85,4:36:58.41,-68:30:28.2,-68:31:16.4
443,lmc,LMC155,4,4:35:49.56,4:36:57.56,-68:23:40.6,-68:26:28.3
444,lmc,LMC155,5,4:32:35.65,4:33:43.52,-68:29:54.2,-68:30:14.3
445,lmc,LMC155,6,4:32:39.09,4:33:43.30,-68:36:59.3,-68:35:07.6
446,lmc,LMC155,7,4:32:33.59,4:33:42.44,-68:45:20.1,-68:48:12.5
447,lmc,LMC155,8,4:32:33.81,4:33:41.22,-68:57:19.1,-68:55:54.0
448,lmc,LMC156,1,4:34:39.10,4:35:46.14,-69:28:23.9,-69:26:35.5
449,lmc,LMC156,2,4:34:39.87,4:35:45.60,-69:22:15.6,-69:20:19.8
450,lmc,LMC156,3,4:34:35.47,4:35:44.40,-69:09:28.0,-69:12:11.3
451,lmc,LMC156,4,4:34:35.37,4:35:42.84,-69:00:07.9,-68:58:58.9
452,lmc,LMC156,5,4:31:15.74,4:32:23.24,-68:59:04.6,-68:59:57.7
453,lmc,LMC156,6,4:31:15.35,4:32:21.51,-69:13:15.8,-69:14:21.6
454,lmc,LMC156,7,4:31:13.71,4:32:23.99,-69:19:16.5,-69:20:18.8
455,lmc,LMC156,8,4:31:13.36,4:32:21.54,-69:30:06.7,-69:29:28.8
456,lmc,LMC157,1,4:33:34.68,4:34:47.64,-69:59:53.4,-70:07:34.8
457,lmc,LMC157,2,4:33:33.67,4:34:43.33,-69:56:04.7,-69:50:48.6
458,lmc,LMC157,3,4:33:35.17,4:34:43.88,-69:47:34.5,-69:42:16.6
459,lmc,LMC157,4,4:33:32.18,4:34:41.71,-69:32:55.5,-69:32:42.7
460,lmc,LMC157,5,4:30:13.46,4:31:17.40,-69:34:49.2,-69:36:58.4
461,lmc,LMC157,6,4:30:08.05,4:31:16.39,-69:47:30.7,-69:45:40.7
462,lmc,LMC157,7,4:30:07.24,4:31:22.07,-69:52:07.0,-69:51:00.4
463,lmc,LMC157,8,4:30:06.03,4:31:15.57,-70:02:24.5,-70:03:35.5
464,lmc,LMC158,1,4:32:17.29,4:33:30.18,-70:40:34.1,-70:37:46.3
465,lmc,LMC158,2,4:32:17.71,4:33:24.57,-70:29:27.5,-70:27:46.4
466,lmc,LMC158,3,4:32:07.48,4:33:18.74,-70:18:42.2,-70:18:41.8
467,lmc,LMC158,4,4:32:09.37,4:33:23.92,-70:10:04.1,-70:16:36.4
468,lmc,LMC158,5,4:28:40.42,4:29:51.86,-70:15:06.7,-70:15:39.7
469,lmc,LMC158,6,4:28:37.60,4:29:51.66,-70:19:40.5,-70:25:50.1
470,lmc,LMC158,7,4:28:34.94,4:29:53.07,-70:33:14.3,-70:31:02.6
471,lmc,LMC158,8,4:28:36.39,4:29:52.36,-70:36:28.5,-70:42:05.1
472,lmc,LMC159,1,5:26:12.27,5:27:17.07,-68:18:22.2,-68:14:16.6
473,lmc,LMC159,2,5:26:12.44,5:27:17.11,-68:12:22.9,-68:09:56.7
474,lmc,LMC159,3,5:26:11.50,5:27:14.39,-68:02:48.5,-67:57:52.2
475,lmc,LMC159,4,5:26:11.11,5:27:15.15,-67:53:47.6,-67:54:03.5
476,lmc,LMC159,5,5:23:01.74,5:24:04.93,-67:51:18.0,-67:54:27.7
477,lmc,LMC159,6,5:23:00.98,5:24:05.25,-67:58:21.6,-67:55:12.6
478,lmc,LMC159,7,5:22:59.92,5:24:04.14,-68:10:37.2,-68:12:29.5
479,lmc,LMC159,8,5:22:59.06,5:24:04.63,-68:18:53.4,-68:18:16.3
480,lmc,LMC160,1,5:26:23.85,5:27:31.30,-68:55:02.6,-68:57:36.2
481,lmc,LMC160,2,5:26:24.45,5:27:29.63,-68:45:50.8,-68:44:03.6
482,lmc,LMC160,3,5:26:22.56,5:27:29.46,-68:36:38.0,-68:39:34.7
483,lmc,LMC160,4,5:26:21.37,5:27:27.62,-68:26:10.6,-68:28:25.9
484,lmc,LMC160,5,5:23:06.46,5:24:12.29,-68:29:23.9,-68:30:10.3
485,lmc,LMC160,6,5:23:06.01,5:24:10.80,-68:35:49.5,-68:38:59.6
486,lmc,LMC160,7,5:23:05.31,5:24:12.16,-68:44:56.8,-68:46:04.4
487,lmc,LMC160,8,5:23:06.00,5:24:12.81,-68:57:04.4,-68:55:40.1
488,lmc,LMC161,1,5:26:42.44,5:27:50.96,-69:30:35.7,-69:31:52.7
489,lmc,LMC161,2,5:26:42.11,5:27:51.38,-69:21:30.2,-69:23:06.6
490,lmc,LMC161,3,5:26:40.27,5:27:48.55,-69:12:02.9,-69:12:29.0
491,lmc,LMC161,4,5:26:40.89,5:27:48.08,-69:05:33.8,-69:01:32.9
492,lmc,LMC161,5,5:23:19.01,5:24:28.42,-69:04:23.1,-69:02:42.5
493,lmc,LMC161,6,5:23:18.84,5:24:27.22,-69:12:32.1,-69:13:34.6
494,lmc,LMC161,7,5:23:19.63,5:24:26.68,-69:23:16.1,-69:21:05.4
495,lmc,LMC161,8,5:23:17.49,5:24:26.75,-69:31:32.7,-69:31:06.8
496,lmc,LMC162,1,5:26:54.49,5:28:06.57,-70:04:25.8,-70:06:46.7
497,lmc,LMC162,2,5:26:55.15,5:28:03.98,-69:56:44.9,-69:55:35.8
498,lmc,LMC162,3,5:26:53.51,5:28:04.75,-69:48:06.6,-69:48:17.4
499,lmc,LMC162,4,5:26:52.95,5:28:01.61,-69:38:43.9,-69:38:19.2
500,lmc,LMC162,5,5:23:26.54,5:24:37.55,-69:36:59.3,-69:36:53.7
501,lmc,LMC162,6,5:23:26.66,5:24:35.63,-69:47:35.9,-69:49:10.3
502,lmc,LMC162,7,5:23:24.83,5:24:35.62,-69:58:49.0,-69:55:32.6
503,lmc,LMC162,8,5:23:24.73,5:24:36.47,-70:06:17.4,-70:05:02.0
